Entity,Beta,Mean
Ajoo Gufx,"Beta(a=1, b=21.0)",0.045454545454545456
Avrbci Ltd,"Beta(a=1.8695711152811376, b=22.0)",0.0783244536004357
Clsvfw AG,"Beta(a=1, b=23.0)",0.041666666666666664
Cqndue LLC,"Beta(a=1, b=19.0)",0.05
Ctvepy SAS,"Beta(a=1, b=23.0)",0.041666666666666664
Dmimyu GmbH,"Beta(a=1, b=23.0)",0.041666666666666664
Ecxk Avfj,"Beta(a=1, b=22.0)",0.043478260869565216
Errg Zipo,"Beta(a=1, b=21.0)",0.045454545454545456
Ffsi Mneb,"Beta(a=1, b=20.0)",0.047619047619047616
Jzrcws SA,"Beta(a=2.94871994732513, b=273.0)",0.010685753309122074
Lasnoj SAS,"Beta(a=1, b=22.0)",0.043478260869565216
Mjlwxf NV,"Beta(a=1, b=24.0)",0.04
Mnmi Haem,"Beta(a=1, b=21.0)",0.045454545454545456
Nchdfd AG,"Beta(a=1, b=18.0)",0.05263157894736842
Okrb Qxpd,"Beta(a=1, b=23.0)",0.041666666666666664
Qpubwe PLC,"Beta(a=1, b=22.0)",0.043478260869565216
Qsihxg GmbH,"Beta(a=1, b=22.0)",0.043478260869565216
Skqn Esui,"Beta(a=1, b=23.0)",0.041666666666666664
Tapd Abuk,"Beta(a=1, b=21.0)",0.045454545454545456
Txctcl AG,"Beta(a=1, b=22.0)",0.043478260869565216
Vkitze GmbH,"Beta(a=1, b=22.0)",0.043478260869565216
Wnzatj SAS,"Beta(a=467.0755251949394, b=36.0)",0.928440168131713
Xqtb Laur,"Beta(a=1, b=23.0)",0.041666666666666664
Yrnw Lvgj,"Beta(a=1.7689415611109514, b=22.0)",0.07442239514800977
