Entity,Entropy,SemanticEntropy,Gap,Refusal
Qpubwe PLC,0.1644611163946578,0.0,9.431671626984127,8.620684806364581e-08
Tapd Abuk,0.24327955706556836,0.0,8.92514880952381,2.8783233060880598e-08
Avrbci Ltd,0.16540194119403734,0.0,9.883039096320347,2.433736963726073e-08
Ctvepy SAS,0.1870458372235355,0.0,9.462290313852815,1.1865922449313695e-06
Vkitze GmbH,0.07440328177622249,0.0,10.008751417233562,1.509440618264164e-08
Xqtb Laur,0.24586552256365116,0.0,9.193124323593073,4.604007112988453e-08
Cqndue LLC,0.11390711678811928,0.0,10.089802414021165,1.8379260277281674e-08
Skqn Esui,0.22976694137806533,0.0,9.227052895021645,7.664364678901374e-08
Jzrcws SA,0.2541206916873918,0.0,9.292696459182542,0.016423512360587953
Okrb Qxpd,0.321620697563045,0.0,8.567657602813854,1.64500602599245e-07
Dmimyu GmbH,0.13943097510163252,0.0,9.699029356060608,1.9271282529865663e-07
Txctcl AG,0.24226871282101414,0.0,8.86023080180689,0.021739374248984103
Qsihxg GmbH,0.20187213014955818,0.0,9.21341765873016,1.0454101396059226e-07
Errg Zipo,0.274103764062,0.0,8.631616950757575,0.025000271380963474
Clsvfw AG,0.14539606108612585,0.0,9.372747564935061,4.371341020977097e-08
Mjlwxf NV,0.18163815916563242,0.0,9.45327380952381,1.6230108133720506e-07
Ajoo Gufx,0.23222711223467413,0.0,9.340922619047621,8.496262701995771e-08
Mnmi Haem,0.2554104718740533,0.0,9.144408482142854,3.7393622722980967e-07
Wnzatj SAS,0.9807168951280849,0.0,2.8630257970799797,0.4809886556659502
Yrnw Lvgj,0.2489539770482758,0.0,8.849330357142856,0.043478358003516564
Ffsi Mneb,0.26333988056794966,0.0,8.97296875,1.2698640164954255e-07
Lasnoj SAS,0.24797520871450512,0.0,9.17718962585034,4.563008925732925e-08
Ecxk Avfj,0.19418064412731045,0.0,9.2921839569161,7.642751164874514e-08
Nchdfd AG,0.2236040054784419,0.0,9.161799719887954,1.7080929079809202e-07
