Entity,Beta,Mean
Ajoo Gufx,"Beta(a=1, b=44.0)",0.022222222222222223
Avrbci Ltd,"Beta(a=1, b=43.0)",0.022727272727272728
Clsvfw AG,"Beta(a=1.4200840049404968, b=45.0)",0.030592017127529476
Cqndue LLC,"Beta(a=1, b=42.0)",0.023255813953488372
Ctvepy SAS,"Beta(a=1, b=42.0)",0.023255813953488372
Dmimyu GmbH,"Beta(a=1, b=46.0)",0.02127659574468085
Ecxk Avfj,"Beta(a=1, b=39.0)",0.025
Errg Zipo,"Beta(a=1, b=41.0)",0.023809523809523808
Ffsi Mneb,"Beta(a=1, b=43.0)",0.022727272727272728
Jzrcws SA,"Beta(a=1, b=41.0)",0.023809523809523808
Lasnoj SAS,"Beta(a=1, b=43.0)",0.022727272727272728
Mjlwxf NV,"Beta(a=1, b=39.0)",0.025
Mnmi Haem,"Beta(a=1.4782611190897634, b=50.0)",0.028716220924206344
Nchdfd AG,"Beta(a=1, b=42.0)",0.023255813953488372
Okrb Qxpd,"Beta(a=1, b=39.0)",0.025
Qpubwe PLC,"Beta(a=1, b=44.0)",0.022222222222222223
Qsihxg GmbH,"Beta(a=1, b=42.0)",0.023255813953488372
Skqn Esui,"Beta(a=1, b=42.0)",0.023255813953488372
Tapd Abuk,"Beta(a=1, b=41.0)",0.023809523809523808
Txctcl AG,"Beta(a=1, b=42.0)",0.023255813953488372
Vkitze GmbH,"Beta(a=1.4027319788554213, b=45.0)",0.030229512768657926
Wnzatj SAS,"Beta(a=1, b=40.0)",0.024390243902439025
Xqtb Laur,"Beta(a=1, b=43.0)",0.022727272727272728
Yrnw Lvgj,"Beta(a=1, b=43.0)",0.022727272727272728
